equip_id,equip_name,grade,sub_grade,equip_slot,apply_class,base_atk,base_def,base_hp,base_durability,repair_material,sell_price
eq_001,凡品下品武器,凡品,下品,武器,通用,20,20,40,20,精铁×2,5
eq_002,凡品中品法袍,凡品,中品,衣袍,体修,19,26,52,19,精铁×2,8
eq_003,凡品上品头盔,凡品,上品,头盔,道修,34,25,51,34,精铁×2,12
eq_004,凡品极品护腕,凡品,极品,护腕,法修,33,33,66,33,精铁×2,18
eq_005,凡品下品腰带,凡品,下品,腰带,通用,20,20,40,20,精铁×2,5
eq_006,凡品中品靴子,凡品,中品,靴子,体修,19,26,52,19,精铁×2,8
eq_007,灵品下品法袍,灵品,下品,衣袍,体修,41,56,112,41,玄铁×3,40
eq_008,灵品中品头盔,灵品,中品,头盔,道修,73,54,109,73,玄铁×3,60
eq_009,灵品上品护腕,灵品,上品,护腕,法修,71,71,143,71,玄铁×3,90
eq_010,灵品极品腰带,灵品,极品,腰带,通用,123,123,246,123,玄铁×3,130
eq_011,灵品下品靴子,灵品,下品,靴子,体修,41,56,112,41,玄铁×3,40
eq_012,灵品中品饰品,灵品,中品,配饰,道修,68,51,102,68,玄铁×3,60
eq_013,宝品下品头盔,宝品,下品,头盔,道修,140,103,210,140,灵晶×4,150
eq_014,宝品中品护腕,宝品,中品,护腕,法修,136,136,273,136,灵晶×4,220
eq_015,宝品上品腰带,宝品,上品,腰带,通用,238,238,476,238,灵晶×4,320
eq_016,宝品极品靴子,宝品,极品,靴子,体修,225,308,616,225,灵晶×4,450
eq_017,宝品下品饰品,宝品,下品,配饰,道修,131,98,196,131,灵晶×4,150
eq_018,宝品中品武器,宝品,中品,武器,法修,182,182,364,182,灵晶×4,220
eq_019,王品下品护腕,王品,下品,护腕,法修,247,247,495,247,灵髓×5,700
eq_020,王品中品腰带,王品,中品,腰带,通用,429,429,858,429,灵髓×5,1000
eq_021,王品上品靴子,王品,上品,靴子,体修,410,561,1122,410,灵髓×5,1500
eq_022,王品极品饰品,王品,极品,配饰,道修,678,509,1017,678,灵髓×5,2200
eq_023,王品下品武器,王品,下品,武器,法修,330,330,660,330,灵髓×5,700
eq_024,王品中品法袍,王品,中品,衣袍,通用,314,429,858,314,灵髓×5,1000
eq_025,圣品下品腰带,圣品,下品,腰带,通用,730,730,1460,730,圣晶×6,3500
eq_026,圣品中品靴子,圣品,中品,靴子,体修,694,949,1898,694,圣晶×6,5000
eq_027,圣品上品饰品,圣品,上品,配饰,道修,1159,869,1739,1159,圣晶×6,7000
eq_028,圣品极品武器,圣品,极品,武器,法修,1606,1606,3212,1606,圣晶×6,10000
eq_029,圣品下品法袍,圣品,下品,衣袍,通用,533,730,1460,533,圣晶×6,3500
eq_030,圣品中品头盔,圣品,中品,头盔,体修,949,698,1424,949,圣晶×6,5000
eq_031,仙品下品靴子,仙品,下品,靴子,体修,1140,1560,3120,1140,道晶×7,15000
eq_032,仙品中品饰品,仙品,中品,配饰,道修,1894,1421,2841,1894,道晶×7,22000
eq_033,仙品上品武器,仙品,上品,武器,法修,2652,2652,5304,2652,道晶×7,32000
eq_034,仙品极品法袍,仙品,极品,衣袍,通用,2508,3432,6864,2508,道晶×7,46000
eq_035,仙品下品头盔,仙品,下品,头盔,体修,1560,1147,2340,1560,道晶×7,15000
eq_036,仙品中品护腕,仙品,中品,护腕,道修,1521,1521,3042,1521,道晶×7,22000
eq_037,仙品上品腰带,仙品,上品,腰带,法修,2652,2652,5304,2652,道晶×7,32000
eq_038,道品下品饰品,道品,下品,配饰,道修,2242,1681,3363,2242,道则核心×8,70000
eq_039,道品中品武器,道品,中品,武器,法修,3120,3120,6240,3120,道则核心×8,100000
eq_040,道品上品法袍,道品,上品,衣袍,通用,2982,4080,8160,2982,道则核心×8,150000
eq_041,道品极品头盔,道品,极品,头盔,体修,5280,3882,7920,5280,道则核心×8,220000
eq_042,道品下品护腕,道品,下品,护腕,道修,1800,1800,3600,1800,道则核心×8,70000
eq_043,道品中品腰带,道品,中品,腰带,法修,3120,3120,6240,3120,道则核心×8,100000
eq_044,道品上品靴子,道品,上品,靴子,通用,2982,4080,8160,2982,道则核心×8,150000
eq_045,凡品下品法宝,凡品,下品,本命法宝,通用,20,20,40,20,精铁×2,5
