item_id,item_name,item_grade,item_type,use_type,unlock_array_id,dismantle_reward_id,icon_path,描述
item_015,阵纹碎片,凡品,array_material,upgrade,,item_015,res://icon/array/item_015.png,通用阵法升级材料，由秘境掉落/阵图拆解/奇遇产出，不新增冗余资源类型
item_016,五行聚灵阵图,凡品,array_book,unlock_array,arr_p_001,item_015,res://icon/array/book/arr_p_001.png,研习五行聚灵阵的阵图，使用后可解锁该单人法阵
item_017,金锋御敌阵图,凡品,array_book,unlock_array,arr_p_002,item_015,res://icon/array/book/arr_p_002.png,研习金锋御敌阵的阵图，使用后可解锁该单人法阵
item_018,玄龟守元阵图,凡品,array_book,unlock_array,arr_p_003,item_015,res://icon/array/book/arr_p_003.png,研习玄龟守元阵的阵图，使用后可解锁该单人法阵
item_019,疾风掠影阵图,凡品,array_book,unlock_array,arr_p_004,item_015,res://icon/array/book/arr_p_004.png,研习疾风掠影阵的阵图，使用后可解锁该单人法阵
item_020,太虚护体阵图,灵品,array_book,unlock_array,arr_p_005,item_015,res://icon/array/book/arr_p_005.png,研习太虚护体阵的阵图，使用后可解锁该单人法阵
item_021,破妄锐金阵图,灵品,array_book,unlock_array,arr_p_006,item_015,res://icon/array/book/arr_p_006.png,研习破妄锐金阵的阵图，使用后可解锁该单人法阵
item_022,迷踪幻影阵图,灵品,array_book,unlock_array,arr_p_007,item_015,res://icon/array/book/arr_p_007.png,研习迷踪幻影阵的阵图，使用后可解锁该单人法阵
item_023,九转回春阵图,宝品,array_book,unlock_array,arr_p_008,item_015,res://icon/array/book/arr_p_008.png,研习九转回春阵的阵图，使用后可解锁该单人法阵
item_024,灵泉涌动阵图,宝品,array_book,unlock_array,arr_p_009,item_015,res://icon/array/book/arr_p_009.png,研习灵泉涌动阵的阵图，使用后可解锁该单人法阵
item_025,周天混元阵图,宝品,array_book,unlock_array,arr_p_010,item_015,res://icon/array/book/arr_p_010.png,研习周天混元阵的阵图，使用后可解锁该单人法阵
item_026,两仪协攻阵图,凡品,array_book,unlock_array,arr_t_001,item_015,res://icon/array/book/arr_t_001.png,研习两仪协攻阵的阵图，组队结阵S2解锁
item_027,三才守御阵图,凡品,array_book,unlock_array,arr_t_002,item_015,res://icon/array/book/arr_t_002.png,研习三才守御阵的阵图，组队结阵S2解锁
item_028,四象聚灵阵图,灵品,array_book,unlock_array,arr_t_003,item_015,res://icon/array/book/arr_t_003.png,研习四象聚灵阵的阵图，组队结阵S2解锁
item_029,五岳镇魔阵图,灵品,array_book,unlock_array,arr_t_004,item_015,res://icon/array/book/arr_t_004.png,研习五岳镇魔阵的阵图，组队结阵S2解锁
item_030,七星破阵图,宝品,array_book,unlock_array,arr_t_005,item_015,res://icon/array/book/arr_t_005.png,研习七星破阵的阵图，组队结阵S2解锁
item_031,周天同心阵图,宝品,array_book,unlock_array,arr_t_006,item_015,res://icon/array/book/arr_t_006.png,研习周天同心阵的阵图，组队结阵S2解锁
item_032,护山大阵图,宝品,array_book,unlock_array,arr_s_001,item_015,res://icon/array/book/arr_s_001.png,研习护山大阵的阵图，宗门大阵由品级解锁（阵图数据预埋）
item_033,聚灵大阵图,宝品,array_book,unlock_array,arr_s_002,item_015,res://icon/array/book/arr_s_002.png,研习聚灵大阵的阵图，宗门大阵由品级解锁（阵图数据预埋）
item_034,镇煞安宗阵图,灵品,array_book,unlock_array,arr_s_003,item_015,res://icon/array/book/arr_s_003.png,研习镇煞安宗阵的阵图，宗门大阵由品级解锁（阵图数据预埋）
item_035,玄空传送阵图,宝品,array_book,unlock_array,arr_s_004,item_015,res://icon/array/book/arr_s_004.png,研习玄空传送阵的阵图，宗门大阵由品级解锁（阵图数据预埋）
